store_name,order_date,order_total,delivery_platform,status
Rocket #6495,2025-04-30 09:17:58.758000+00:00,12.29,DoorDash,completed
Energy Mart 10 - Long Shoals Rd,2025-04-30 09:16:19.415000+00:00,13.63,UberEats,pickup_completed
Jacksons Food Stores (#505),2025-04-30 09:15:22.836000+00:00,15.44,DoorDash,completed
Kangaroo Express(3636 N Sherwood Forest Dr),2025-04-30 09:09:52.456000+00:00,19.64,DoorDash,completed
Clipper Petroleum #47,2025-04-30 09:07:24.661000+00:00,6.77,DoorDash,completed
Circle K (1896 Piedmont Rd NE),2025-04-30 08:57:10.797000+00:00,16.06,UberEats,cancelled
Rocket #6655,2025-04-30 08:55:45.616000+00:00,15.48,DoorDash,completed
Jacksons Food Stores (#110),2025-04-30 08:54:25.775000+00:00,7.99,DoorDash,completed
Jacksons Food Stores (#502),2025-04-30 08:51:19.137000+00:00,6.29,DoorDash,completed
Kangaroo Express (38507 Louisiana 30 W),2025-04-30 08:49:22.398000+00:00,3.99,DoorDash,completed
Rocket #1443,2025-04-30 08:48:38.855000+00:00,2.69,DoorDash,completed
Jacksons Food Stores (#111),2025-04-30 08:43:41.032000+00:00,22.06,DoorDash,completed
Rocket #4215,2025-04-30 08:39:51.408000+00:00,20.31,DoorDash,completed
Jacksons Food Stores (#502),2025-04-30 08:39:14.594000+00:00,14.77,DoorDash,completed
Jacksons Food Stores #654,2025-04-30 08:39:05.440000+00:00,16.36,UberEats,pickup_completed
Jacksons Food Stores #68,2025-04-30 08:37:51.552000+00:00,6.29,DoorDash,ready_for_pickup
Circle K Carlsbad,2025-04-30 08:34:56.090000+00:00,10.78,GrubHub,completed
Jacksons Food Stores (#530),2025-04-30 08:33:38.381000+00:00,35.48,DoorDash,completed
Jacksons Food Stores #810,2025-04-30 08:33:37.587000+00:00,9.99,UberEats,pickup_completed
Rocket #219,2025-04-30 08:30:58.245000+00:00,10.06,DoorDash,completed
Jacksons Food Stores #607,2025-04-30 08:30:10.773000+00:00,37.07,UberEats,pickup_completed
Rocket #355,2025-04-30 08:29:58.196000+00:00,9.98,DoorDash,completed
Circle K Franchise (Oscar) - Bear Valley & 3rd,2025-04-30 08:27:39.914000+00:00,9.16,DoorDash,completed
Rocket #5533,2025-04-30 08:27:23.627000+00:00,2.29,DoorDash,completed
Jacksons Food Stores #648,2025-04-30 08:21:57.618000+00:00,14.56,DoorDash,completed
Rocket #5466,2025-04-30 08:21:45.685000+00:00,14.61,DoorDash,completed
Jacksons Food Stores (#501),2025-04-30 08:21:23.091000+00:00,16.35,DoorDash,completed
Rocket #694,2025-04-30 08:18:07.780000+00:00,12.66,DoorDash,completed
Sweet Peas #17,2025-04-30 08:15:01.874000+00:00,8.18,GrubHub,cancelled
Rocket #4215,2025-04-30 08:14:41.967000+00:00,5.38,DoorDash,completed
Rocket #5458,2025-04-30 08:14:30.078000+00:00,12.96,DoorDash,completed
Chop Chop Convenience Kelly Square,2025-04-30 08:13:48.115000+00:00,11.35,DoorDash,completed
Circle K (6629 Jonesboro Rd),2025-04-30 08:10:14.600000+00:00,31.59,UberEats,pickup_completed
Jacksons Food Stores (#502),2025-04-30 08:08:30.446000+00:00,15.44,DoorDash,completed
Sweet Peas #18,2025-04-30 08:06:25.682000+00:00,16.96,DoorDash,completed
Rocket #5459,2025-04-30 08:05:15.860000+00:00,8.38,DoorDash,completed
Jacksons Food Stores (#548),2025-04-30 08:03:16.821000+00:00,13.74,DoorDash,completed
Jacksons Food Stores #633,2025-04-30 07:57:45.770000+00:00,19.26,UberEats,pickup_completed
Rocket #4274,2025-04-30 07:54:39.316000+00:00,9.29,DoorDash,completed
Rocket #17,2025-04-30 07:51:12.951000+00:00,9.27,DoorDash,completed
Rocket #5190,2025-04-30 07:50:41.727000+00:00,11.66,DoorDash,completed
Jacksons Food Stores (#111),2025-04-30 07:50:23.233000+00:00,13.28,DoorDash,completed
Jacksons Food Stores #662,2025-04-30 07:45:16.114000+00:00,49.47,DoorDash,completed
Jacksons Food Stores #607,2025-04-30 07:40:51.415000+00:00,17.45,UberEats,pickup_completed
Jacksons Food Stores (#540),2025-04-30 07:40:37.034000+00:00,12.57,UberEats,ready_for_pickup
Clipper Petroleum #77,2025-04-30 07:40:27.324000+00:00,25.63,DoorDash,completed
Circle K (3601 Flat Shoals Rd),2025-04-30 07:39:59.190000+00:00,10.86,DoorDash,completed
Rocket #5460,2025-04-30 07:35:33.315000+00:00,8.38,DoorDash,completed
Rocket #5500,2025-04-30 07:35:29.936000+00:00,8.99,DoorDash,completed
Rocket #6551,2025-04-30 07:33:46.600000+00:00,11.17,DoorDash,completed
Rocket #277,2025-04-30 07:33:08.103000+00:00,10.76,UberEats,pickup_completed
Jacksons Food Stores #633,2025-04-30 07:31:37.505000+00:00,7.77,UberEats,pickup_completed
Kangaroo Express (12390 Scotland Ave),2025-04-30 07:31:24.959000+00:00,15.24,UberEats,pickup_completed
Jacksons Food Stores #648,2025-04-30 07:30:10.848000+00:00,26.32,DoorDash,completed
Circle K Carlsbad,2025-04-30 07:29:22.641000+00:00,19.45,GrubHub,completed
Circle K (36 Scotia Dr),2025-04-30 07:28:07.703000+00:00,61.02,UberEats,ready_for_pickup
Rocket #6537,2025-04-30 07:27:25.495000+00:00,20.55,DoorDash,completed
Rocket #219,2025-04-30 07:26:59.077000+00:00,6.68,DoorDash,completed
Chop Chop Convenience Kelly Square,2025-04-30 07:26:54.896000+00:00,7.38,DoorDash,completed
Jacksons Food Stores #68,2025-04-30 07:26:53.816000+00:00,10.17,UberEats,ready_for_pickup
Rocket #1991,2025-04-30 07:26:26.294000+00:00,1.99,DoorDash,completed
Jacksons Food Stores (#551),2025-04-30 07:23:48.699000+00:00,12.27,GrubHub,cancelled
Jacksons Food Stores (#538),2025-04-30 07:23:32.181000+00:00,6.88,DoorDash,completed
Jacksons Food Stores (#514),2025-04-30 07:21:38.996000+00:00,13.45,DoorDash,cancelled
Jacksons Food Stores #26,2025-04-30 07:21:24.162000+00:00,11.97,DoorDash,completed
Jacksons Food Stores #802,2025-04-30 07:20:45.345000+00:00,13.96,DoorDash,completed
Jacksons Food Stores #2,2025-04-30 07:20:35.308000+00:00,22.74,DoorDash,completed
Rocket #5428,2025-04-30 07:18:41.301000+00:00,72.4,DoorDash,completed
Jacksons Food Stores (#513),2025-04-30 07:17:57.052000+00:00,15.95,DoorDash,completed
Jacksons Food Stores (#513),2025-04-30 07:17:42.621000+00:00,40.02,UberEats,pickup_completed
Rocket #106,2025-04-30 07:15:58.660000+00:00,2.19,DoorDash,completed
Circle K (6629 Jonesboro Rd),2025-04-30 07:15:51.293000+00:00,29.23,UberEats,pickup_completed
Jacksons Food Stores #667,2025-04-30 07:14:46.991000+00:00,19.75,DoorDash,completed
Circle K (3400 Busbee Dr NW),2025-04-30 07:13:54.374000+00:00,7.58,DoorDash,completed
Jacksons Food Stores #607,2025-04-30 07:13:06.054000+00:00,9.98,DoorDash,completed
Jacksons Food Stores #667,2025-04-30 07:12:23.804000+00:00,5.89,DoorDash,completed
Jacksons Food Stores (#542),2025-04-30 07:11:42.413000+00:00,9.48,DoorDash,completed
Jacksons Food Stores #28,2025-04-30 07:11:30.457000+00:00,11.75,UberEats,pickup_completed
Rocket #1971,2025-04-30 07:10:21.546000+00:00,9.16,DoorDash,completed
Rocket #4272,2025-04-30 07:10:03.630000+00:00,3.39,DoorDash,completed
Clipper Petroleum #47,2025-04-30 07:09:47.740000+00:00,20.82,UberEats,pickup_completed
Jacksons Food Stores (#501),2025-04-30 07:06:22.139000+00:00,9.99,DoorDash,completed
Jacksons Food Stores #615,2025-04-30 07:05:39.156000+00:00,16.85,GrubHub,completed
Rocket #5456,2025-04-30 07:04:31.730000+00:00,45.98,DoorDash,completed
Jacksons Food Stores #144,2025-04-30 07:02:06.387000+00:00,13.87,UberEats,pickup_completed
Jacksons Food Stores (#526),2025-04-30 07:00:09.743000+00:00,13.87,DoorDash,completed
Rocket #26,2025-04-30 06:59:57.446000+00:00,4.89,UberEats,ready_for_pickup
Jacksons Food Stores #28,2025-04-30 06:58:07.752000+00:00,22.95,DoorDash,completed
Circle K (6629 Jonesboro Rd),2025-04-30 06:57:38.139000+00:00,13.25,UberEats,pickup_completed
Rocket #5457,2025-04-30 06:56:26.079000+00:00,10.99,DoorDash,completed
Rocket #5533,2025-04-30 06:56:03.301000+00:00,19.35,DoorDash,completed
Rocket #5456,2025-04-30 06:54:29.334000+00:00,22.99,DoorDash,completed
Jacksons Food Stores #68,2025-04-30 06:54:10.523000+00:00,33.64,UberEats,ready_for_pickup
Rocket #249,2025-04-30 06:53:37.888000+00:00,16.96,DoorDash,completed
Jacksons Food Stores #2,2025-04-30 06:52:02.138000+00:00,11.37,UberEats,pickup_completed
Rocket #5426,2025-04-30 06:51:18.571000+00:00,7.99,DoorDash,completed
Rocket #234,2025-04-30 06:50:55.770000+00:00,15.34,UberEats,pickup_completed
Rocket #5456,2025-04-30 06:50:26.357000+00:00,38.97,DoorDash,cancelled
Rocket #694,2025-04-30 06:50:19.249000+00:00,22.91,UberEats,pickup_completed
Rocket #5463,2025-04-30 06:49:10.641000+00:00,11.37,DoorDash,completed
Jacksons Food Stores #654,2025-04-30 06:47:26.643000+00:00,15.16,DoorDash,completed
Rocket #5466,2025-04-30 06:46:52.467000+00:00,10.16,DoorDash,completed
Jacksons Food Stores (#502),2025-04-30 06:45:08.593000+00:00,8.78,DoorDash,completed
Circle K (5101 Vaughn Rd),2025-04-30 06:43:50.642000+00:00,5.67,DoorDash,completed
Rocket #5437,2025-04-30 06:43:07.754000+00:00,2.69,DoorDash,completed
Rocket #5190,2025-04-30 06:42:57.195000+00:00,40.5,DoorDash,completed
Jacksons Food Stores #69,2025-04-30 06:42:51.296000+00:00,32.7,DoorDash,completed
Jacksons Food Stores (#525),2025-04-30 06:42:05.829000+00:00,16.07,DoorDash,completed
Jacksons Food Stores #2,2025-04-30 06:41:55.742000+00:00,7.98,DoorDash,completed
Jacksons Food Stores (#502),2025-04-30 06:40:55.191000+00:00,3.99,DoorDash,completed
Rocket #251,2025-04-30 06:40:16.104000+00:00,6.58,DoorDash,completed
Atlantis Fresh Market #513,2025-04-30 06:39:34.095000+00:00,25.58,DoorDash,completed
Gas Express (10251 Chantilly Pkwy),2025-04-30 06:39:14.837000+00:00,10.27,DoorDash,completed
Rocket #676,2025-04-30 06:38:56.870000+00:00,5.69,DoorDash,completed
Circle K (8060 GA-85),2025-04-30 06:38:21.608000+00:00,8.57,UberEats,incoming
Jacksons Food Stores #77,2025-04-30 06:37:14.117000+00:00,33.8,DoorDash,completed
Circle K (3601 Flat Shoals Rd),2025-04-30 06:35:58.176000+00:00,5.88,DoorDash,completed
Clipper Petroleum #91,2025-04-30 06:35:37.094000+00:00,5.29,DoorDash,completed
Jacksons Food Stores (#518),2025-04-30 06:34:46.972000+00:00,6.38,UberEats,pickup_completed
Jacksons Food Stores #105,2025-04-30 06:34:40.652000+00:00,18.44,DoorDash,completed
Rocket #254,2025-04-30 06:34:14.136000+00:00,17.33,UberEats,pickup_completed
Jacksons Food Stores #654,2025-04-30 06:33:34.399000+00:00,27.3,DoorDash,completed
Circle K (6357 Eastern Ave),2025-04-30 06:32:11.642000+00:00,13.26,DoorDash,completed
Kangaroo Express (642 Belle Terre Blvd),2025-04-30 06:31:07.323000+00:00,18.93,UberEats,completed
Yazzy's Market - 1210 Altamont Ave,2025-04-30 06:31:03.488000+00:00,10.17,GrubHub,cancelled
Rocket #190,2025-04-30 06:30:52.162000+00:00,17.86,DoorDash,completed
Chop Chop Convenience Kelly Square,2025-04-30 06:30:44.111000+00:00,2.94,DoorDash,completed
Rocket #7965,2025-04-30 06:29:30.668000+00:00,8.37,DoorDash,completed
Jacksons Food Stores (#548),2025-04-30 06:29:05.432000+00:00,8.27,DoorDash,completed
Circle K (1896 Piedmont Rd NE),2025-04-30 06:29:02.447000+00:00,2.79,UberEats,pickup_completed
Jacksons Food Stores #648,2025-04-30 06:29:02.215000+00:00,7.44,UberEats,pickup_completed
Rocket #1297,2025-04-30 06:28:49.718000+00:00,12.76,DoorDash,completed
Circle K Franchise (Oscar) - Bear Valley & 3rd,2025-04-30 06:28:23.227000+00:00,7.67,DoorDash,completed
Rocket #5262,2025-04-30 06:28:15.007000+00:00,10.37,DoorDash,completed
Rocket #151,2025-04-30 06:27:29.969000+00:00,2.69,UberEats,incoming
Yazzy's Market - 1210 Altamont Ave,2025-04-30 06:26:23.626000+00:00,11.99,GrubHub,denied
Circle K Franchise (Oscar) - Bear Valley & 3rd,2025-04-30 06:26:23.054000+00:00,16.65,DoorDash,completed
Jacksons Food Stores #31,2025-04-30 06:26:04.202000+00:00,11.97,DoorDash,completed
Jacksons Food Stores #240,2025-04-30 06:25:09.341000+00:00,2.79,DoorDash,completed
Jacksons Food Stores #69,2025-04-30 06:24:52.788000+00:00,19.86,DoorDash,completed
Par Mar Stores - 12,2025-04-30 06:24:37.349000+00:00,11.78,DoorDash,completed
Circle K Franchise (Oscar) - Bear Valley & 3rd,2025-04-30 06:24:22.202000+00:00,15.35,DoorDash,completed
Rotten Robbie #60,2025-04-30 06:23:08.315000+00:00,9.57,DoorDash,completed
Rocket #5190,2025-04-30 06:21:19.448000+00:00,5.39,DoorDash,cancelled
Jacksons Food Stores #27,2025-04-30 06:20:42.223000+00:00,8.98,DoorDash,completed
Kangaroo Express (12390 Scotland Ave),2025-04-30 06:19:46.075000+00:00,6.38,DoorDash,completed
Jacksons Food Stores #662,2025-04-30 06:19:35.807000+00:00,4.29,DoorDash,completed
Rocket #1966,2025-04-30 06:18:35.942000+00:00,7.18,DoorDash,completed
Rocket #4215,2025-04-30 06:18:12.856000+00:00,8.47,DoorDash,completed
Circle K (1188 Broward Rd),2025-04-30 06:17:55.277000+00:00,8.17,UberEats,pickup_completed
Jacksons Food Stores #2,2025-04-30 06:17:10.393000+00:00,15.96,UberEats,pickup_completed
Jacksons Food Stores (#530),2025-04-30 06:17:01.977000+00:00,16.96,DoorDash,completed
U-Stop Convenience Shop 10th & J,2025-04-30 06:15:19.133000+00:00,13.85,UberEats,ready_for_pickup
Jacksons Food Stores #69,2025-04-30 06:14:30.142000+00:00,40.03,DoorDash,completed
Jacksons Food Stores #665,2025-04-30 06:14:14.516000+00:00,4.99,DoorDash,completed
Clipper Petroleum #57,2025-04-30 06:13:48.853000+00:00,3.79,UberEats,cancelled
Rocket #5246,2025-04-30 06:13:37.929000+00:00,10.99,DoorDash,completed
Jacksons Food Stores #2,2025-04-30 06:13:22.503000+00:00,38.35,DoorDash,completed
Jacksons Food Stores (#501),2025-04-30 06:13:18.614000+00:00,3.59,DoorDash,completed
Rocket #637,2025-04-30 06:12:31.321000+00:00,15.16,UberEats,denied
Rotten Robbie #70,2025-04-30 06:12:29.148000+00:00,12.06,DoorDash,completed
Jacksons Food Stores #77,2025-04-30 06:11:13.394000+00:00,5.38,DoorDash,cancelled
Rocket #477,2025-04-30 06:11:03.349000+00:00,18.34,GrubHub,cancelled
Jacksons Food Stores #35,2025-04-30 06:11:00.822000+00:00,6.77,UberEats,pickup_completed
Circle K (6357 Eastern Ave),2025-04-30 06:09:07.544000+00:00,3.27,GrubHub,completed
Jacksons Food Stores #77,2025-04-30 06:08:03.619000+00:00,23.99,DoorDash,cancelled
Kangaroo Express (1684 S College St),2025-04-30 06:06:30.483000+00:00,12.96,DoorDash,completed
Kangaroo Express (1119 E McNeese St),2025-04-30 06:06:09.730000+00:00,12.58,UberEats,pickup_completed
Rocket #5437,2025-04-30 06:06:06.778000+00:00,2.69,DoorDash,completed
Clipper Petroleum #55,2025-04-30 06:04:25.389000+00:00,25.52,UberEats,pickup_completed
Kangaroo Express (1684 S College St),2025-04-30 06:04:24.963000+00:00,5.49,DoorDash,completed
Jacksons Food Stores #160,2025-04-30 06:04:24.387000+00:00,6.87,DoorDash,cancelled
Rocket #5452,2025-04-30 06:03:21.168000+00:00,25.15,DoorDash,completed
Jacksons Food Stores #802,2025-04-30 06:02:23.427000+00:00,7.98,UberEats,pickup_completed
Rocket #5442,2025-04-30 06:01:26.858000+00:00,16.16,DoorDash,completed
Jacksons Food Stores (#530),2025-04-30 06:00:12.727000+00:00,6.79,DoorDash,completed
Rocket #4243,2025-04-30 05:58:54.246000+00:00,12.06,DoorDash,completed
Circle K (758 W North St),2025-04-30 05:58:29.946000+00:00,7.79,UberEats,completed
Jacksons Food Stores #28,2025-04-30 05:56:29.235000+00:00,9.47,UberEats,completed
Jacksons Food Stores #69,2025-04-30 05:55:38.379000+00:00,3.59,DoorDash,completed
Rocket #4265,2025-04-30 05:55:37.058000+00:00,27.57,UberEats,cancelled
Rocket #6520,2025-04-30 05:55:23.453000+00:00,13.03,UberEats,completed
Circle K (6629 Jonesboro Rd),2025-04-30 05:54:16.164000+00:00,13.55,UberEats,completed
Circle K Franchise (Oscar) - Bear Valley & 3rd,2025-04-30 05:54:13.825000+00:00,17.55,DoorDash,completed
Rocket #26,2025-04-30 05:53:59.376000+00:00,17.97,UberEats,completed
Rocket #275,2025-04-30 05:53:25.972000+00:00,25.98,DoorDash,completed
Jacksons Food Stores #97,2025-04-30 05:53:22.622000+00:00,6.87,DoorDash,cancelled
Jacksons Food Stores #105,2025-04-30 05:52:44.015000+00:00,1.99,UberEats,completed
Rocket #251,2025-04-30 05:52:26.128000+00:00,19.14,DoorDash,completed
Chop Chop Convenience - Pleasant Street,2025-04-30 05:52:22.209000+00:00,8.58,DoorDash,completed
Rotten Robbie #60,2025-04-30 05:50:35.419000+00:00,11.17,DoorDash,completed
Jacksons Food Stores #18,2025-04-30 05:50:03.540000+00:00,13.95,DoorDash,completed
Rocket #5466,2025-04-30 05:49:42.441000+00:00,7.98,DoorDash,completed
Jacksons Food Stores (#542),2025-04-30 05:48:45.544000+00:00,21.14,DoorDash,completed
Jacksons Food Stores #68,2025-04-30 05:48:31.073000+00:00,13.88,DoorDash,completed
Rocket #6505,2025-04-30 05:47:13.535000+00:00,11.42,DoorDash,completed
Jacksons Food Stores (#512),2025-04-30 05:47:11.847000+00:00,19.83,DoorDash,completed
Rocket #4275,2025-04-30 05:46:56.430000+00:00,10.49,DoorDash,completed
Clipper Petroleum #55,2025-04-30 05:44:05.715000+00:00,16.04,DoorDash,completed
Jacksons Food Stores #105,2025-04-30 05:43:49.632000+00:00,15.02,UberEats,completed
Rocket #676,2025-04-30 05:41:13.793000+00:00,27.96,UberEats,completed
Rocket #4243,2025-04-30 05:40:37.296000+00:00,8.77,DoorDash,completed
Rotten Robbie #70,2025-04-30 05:39:54.016000+00:00,22.74,DoorDash,completed
Rocket #251,2025-04-30 05:39:14.437000+00:00,8.47,DoorDash,completed
Clipper Petroleum #47,2025-04-30 05:38:44.054000+00:00,10.26,UberEats,completed
Clipper Petroleum #47,2025-04-30 05:38:26.491000+00:00,32.31,DoorDash,completed
Jacksons Food Stores #31,2025-04-30 05:37:59.743000+00:00,19.65,DoorDash,completed
Rocket #4216,2025-04-30 05:37:27.481000+00:00,9.97,DoorDash,completed
Rocket #5642,2025-04-30 05:36:08.517000+00:00,6.78,UberEats,completed
Jacksons Food Stores #59,2025-04-30 05:35:12.188000+00:00,7.98,UberEats,completed
Chicken King (Kim Hoang),2025-04-30 05:34:46.730000+00:00,48.43,UberEats,completed
"B-IN Gas (Parent Petroleum, Inc.)",2025-04-30 05:34:36.872000+00:00,6.98,DoorDash,completed
Jacksons Food Stores (#108),2025-04-30 05:33:59.933000+00:00,27.52,DoorDash,completed
Rocket #5452,2025-04-30 05:31:30.375000+00:00,7.58,DoorDash,completed
Circle K (1188 Broward Rd),2025-04-30 05:31:26.975000+00:00,56.75,DoorDash,completed
Rocket #5454,2025-04-30 05:31:00.145000+00:00,3.99,DoorDash,completed
Circle K (6629 Jonesboro Rd),2025-04-30 05:29:10.077000+00:00,14.35,UberEats,completed
Jacksons Food Stores #105,2025-04-30 05:29:00.208000+00:00,11.99,UberEats,completed
Jacksons Food Stores #667,2025-04-30 05:27:29.707000+00:00,16.95,UberEats,completed
Kangaroo Express (8967 Jefferson Hwy),2025-04-30 05:25:48.697000+00:00,13.47,DoorDash,completed
Jacksons Food Stores #94,2025-04-30 05:25:38.414000+00:00,15.15,DoorDash,completed
Clipper Petroleum #55,2025-04-30 05:25:37.380000+00:00,9.16,UberEats,completed
Jacksons Food Stores (#538),2025-04-30 05:25:17.254000+00:00,13.45,DoorDash,completed
Jacksons Food Stores #105,2025-04-30 05:24:54.440000+00:00,20.99,UberEats,completed
Jacksons Food Stores #200,2025-04-30 05:24:50.029000+00:00,10.99,DoorDash,completed
Circle K (1896 Piedmont Rd NE),2025-04-30 05:24:46.819000+00:00,5.78,UberEats,completed
Rocket #277,2025-04-30 05:24:25.461000+00:00,23.43,DoorDash,completed
Circle K (Airport Road),2025-04-30 05:24:16.710000+00:00,10.46,DoorDash,completed
Jacksons Food Stores #60,2025-04-30 05:24:10.797000+00:00,20.99,DoorDash,completed
Rocket #5260,2025-04-30 05:23:42.778000+00:00,9.97,DoorDash,completed
Jacksons Food Stores (#545),2025-04-30 05:23:23.963000+00:00,19.83,DoorDash,completed
Rocket #5460,2025-04-30 05:23:12.048000+00:00,8.38,DoorDash,completed
Jacksons Food Stores #805,2025-04-30 05:22:58.479000+00:00,13.57,DoorDash,completed
Rotten Robbie #40,2025-04-30 05:22:47.322000+00:00,22.83,DoorDash,completed
Rocket #251,2025-04-30 05:20:18.162000+00:00,15.46,DoorDash,completed
Jacksons Food Stores #34,2025-04-30 05:18:49.065000+00:00,14.05,UberEats,completed
Rocket #5240,2025-04-30 05:18:48.719000+00:00,10.78,DoorDash,completed
Circle K (Westinghouse),2025-04-30 05:18:45.251000+00:00,7.49,UberEats,completed
Clipper Petroleum #55,2025-04-30 05:18:32.618000+00:00,16.76,DoorDash,completed
Jacksons Food Stores (#111),2025-04-30 05:18:20.911000+00:00,15.06,DoorDash,completed
Rocket #4241,2025-04-30 05:17:20.608000+00:00,13.84,UberEats,denied
Circle K (6201 Colonel Glenn Rd),2025-04-30 05:16:42.307000+00:00,16.31,UberEats,completed
Jacksons Food Stores #65,2025-04-30 05:15:58.411000+00:00,5.58,DoorDash,cancelled
Circle K (3565 Lower Wetumpka Rd),2025-04-30 05:15:48.160000+00:00,13.95,DoorDash,completed
Jacksons Food Stores #648,2025-04-30 05:15:28.518000+00:00,9.57,DoorDash,completed
Jacksons Food Stores #33,2025-04-30 05:15:09.691000+00:00,11.57,DoorDash,completed
Circle K (6629 Jonesboro Rd),2025-04-30 05:14:46.106000+00:00,11.56,UberEats,completed
Rocket #251,2025-04-30 05:12:44.523000+00:00,9.29,DoorDash,completed
Circle K (6629 Jonesboro Rd),2025-04-30 05:12:34.946000+00:00,15.56,DoorDash,cancelled
Circle K (Ave H),2025-04-30 05:12:30.632000+00:00,9.97,DoorDash,completed
Circle K (758 W North St),2025-04-30 05:11:37.866000+00:00,3.99,UberEats,completed
Circle K (6629 Jonesboro Rd),2025-04-30 05:10:33.434000+00:00,7.47,UberEats,completed
Rocket #4218,2025-04-30 05:09:21.371000+00:00,9.36,DoorDash,completed
Rocket #5458,2025-04-30 05:08:51.421000+00:00,13.77,DoorDash,completed
Jacksons Food Stores #243,2025-04-30 05:08:37.287000+00:00,5.78,DoorDash,completed
Circle K - Main St,2025-04-30 05:06:59.572000+00:00,14.66,UberEats,completed
Rocket #4275,2025-04-30 05:06:27.604000+00:00,15.85,DoorDash,completed
Kangaroo Express (12390 Scotland Ave),2025-04-30 05:06:25.290000+00:00,4.99,UberEats,denied
Rocket #4243,2025-04-30 05:05:56.623000+00:00,17.35,DoorDash,completed
Jacksons Food Stores #54,2025-04-30 05:05:34.361000+00:00,20.99,UberEats,completed
Rocket #5458,2025-04-30 05:05:06.309000+00:00,27.02,DoorDash,completed
Jacksons Food Stores #7,2025-04-30 05:02:33.316000+00:00,2.99,UberEats,completed
Rocket #5454,2025-04-30 05:02:10.733000+00:00,6.98,DoorDash,completed
Kangaroo Express (1119 E McNeese St),2025-04-30 05:01:28.314000+00:00,10.06,DoorDash,denied
Rocket #5463,2025-04-30 05:01:14.720000+00:00,7.58,DoorDash,completed
Circle K (1896 Piedmont Rd NE),2025-04-30 05:00:31.498000+00:00,2.79,UberEats,cancelled
Jacksons Food Stores #64,2025-04-30 05:00:27.301000+00:00,14.99,DoorDash,completed
Circle K (758 W North St),2025-04-30 04:58:28.734000+00:00,14.04,UberEats,completed
Eagle Stores (Fairborn),2025-04-30 04:58:10.847000+00:00,9.99,UberEats,denied
Energy Mart 10 - Long Shoals Rd,2025-04-30 04:55:27.029000+00:00,29.38,DoorDash,cancelled
Kangaroo Express (6404 Hooper Rd),2025-04-30 04:55:25.861000+00:00,6.58,UberEats,completed
Jacksons Food Stores (#563),2025-04-30 04:55:11.772000+00:00,5.58,GrubHub,completed
Jacksons Food Stores (#505),2025-04-30 04:55:07.069000+00:00,9.88,DoorDash,completed
Jacksons Food Stores #77,2025-04-30 04:54:53.803000+00:00,13.27,DoorDash,completed
